id,name,slug,area,regency_id
1601052,Lengkiti,lengkiti,Kecamatan,1601
1601070,Sosoh Buay Rayap,sosoh-buay-rayap,Kecamatan,1601
1601080,Pengandonan,pengandonan,Kecamatan,1601
1601081,Semidang Aji,semidang-aji,Kecamatan,1601
1601082,Ulu Ogan,ulu-ogan,Kecamatan,1601
1601083,Muara Jaya,muara-jaya,Kecamatan,1601
1601090,Peninjauan,peninjauan,Kecamatan,1601
1601091,Lubuk Batang,lubuk-batang,Kecamatan,1601
1601092,Sinar Peninjauan,sinar-peninjauan,Kecamatan,1601
1601093,Kedaton Peninjauan Raya,kedaton-peninjauan-raya,Kecamatan,1601
1601130,Batu Raja Timur,batu-raja-timur,Kecamatan,1601
1601131,Lubuk Raja,lubuk-raja,Kecamatan,1601
1601140,Batu Raja Barat,batu-raja-barat,Kecamatan,1601
1602010,Lempuing,lempuing,Kecamatan,1602
1602011,Lempuing Jaya,lempuing-jaya,Kecamatan,1602
1602020,Mesuji,mesuji,Kecamatan,1602
1602021,Sungai Menang,sungai-menang,Kecamatan,1602
1602022,Mesuji Makmur,mesuji-makmur,Kecamatan,1602
1602023,Mesuji Raya,mesuji-raya,Kecamatan,1602
1602030,Tulung Selapan,tulung-selapan,Kecamatan,1602
1602031,Cengal,cengal,Kecamatan,1602
1602040,Pedamaran,pedamaran,Kecamatan,1602
1602041,Pedamaran Timur,pedamaran-timur,Kecamatan,1602
1602050,Tanjung Lubuk,tanjung-lubuk,Kecamatan,1602
1602051,Teluk Gelam,teluk-gelam,Kecamatan,1602
1602060,Kota Kayu Agung,kota-kayu-agung,Kecamatan,1602
1602120,Sirah Pulau Padang,sirah-pulau-padang,Kecamatan,1602
1602121,Jejawi,jejawi,Kecamatan,1602
1602130,Pampangan,pampangan,Kecamatan,1602
1602131,Pangkalan Lapam,pangkalan-lapam,Kecamatan,1602
1602140,Air Sugihan,air-sugihan,Kecamatan,1602
1603010,Semendo Darat Laut,semendo-darat-laut,Kecamatan,1603
1603011,Semendo Darat Ulu,semendo-darat-ulu,Kecamatan,1603
1603012,Semendo Darat Tengah,semendo-darat-tengah,Kecamatan,1603
1603020,Tanjung Agung,tanjung-agung,Kecamatan,1603
1603031,Rambang,rambang,Kecamatan,1603
1603032,Lubai,lubai,Kecamatan,1603
1603033,Lubai Ulu,lubai-ulu,Kecamatan,1603
1603040,Lawang Kidul,lawang-kidul,Kecamatan,1603
1603050,Muara Enim,muara-enim,Kecamatan,1603
1603051,Ujan Mas,ujan-mas,Kecamatan,1603
1603060,Gunung Megang,gunung-megang,Kecamatan,1603
1603061,Benakat,benakat,Kecamatan,1603
1603062,Belimbing,belimbing,Kecamatan,1603
1603070,Rambang Dangku,rambang-dangku,Kecamatan,1603
1603090,Gelumbang,gelumbang,Kecamatan,1603
1603091,Lembak,lembak,Kecamatan,1603
1603092,Sungai Rotan,sungai-rotan,Kecamatan,1603
1603093,Muara Belida,muara-belida,Kecamatan,1603
1603094,Kelekar,kelekar,Kecamatan,1603
1603095,Belida Darat,belida-darat,Kecamatan,1603
1604011,Tanjung Sakti Pumi,tanjung-sakti-pumi,Kecamatan,1604
1604012,Tanjung Sakti Pumu,tanjung-sakti-pumu,Kecamatan,1604
1604040,Kota Agung,kota-agung,Kecamatan,1604
1604041,Mulak Ulu,mulak-ulu,Kecamatan,1604
1604042,Tanjung Tebat,tanjung-tebat,Kecamatan,1604
1604043,Mulak Sebingkai,mulak-sebingkai,Kecamatan,1604
1604050,Pulau Pinang,pulau-pinang,Kecamatan,1604
1604051,Pagar Gunung,pagar-gunung,Kecamatan,1604
1604052,Gumay Ulu,gumay-ulu,Kecamatan,1604
1604060,Jarai,jarai,Kecamatan,1604
1604061,Pajar Bulan,pajar-bulan,Kecamatan,1604
1604062,Muara Payang,muara-payang,Kecamatan,1604
1604063,Sukamerindu,sukamerindu,Kecamatan,1604
1604111,Kikim Barat,kikim-barat,Kecamatan,1604
1604112,Kikim Timur,kikim-timur,Kecamatan,1604
1604113,Kikim Selatan,kikim-selatan,Kecamatan,1604
1604114,Kikim Tengah,kikim-tengah,Kecamatan,1604
1604120,Lahat,lahat,Kecamatan,1604
1604121,Gumay Talang,gumay-talang,Kecamatan,1604
1604122,Pseksu,pseksu,Kecamatan,1604
1604123,Lahat Selatan,lahat-selatan,Kecamatan,1604
1604131,Merapi Barat,merapi-barat,Kecamatan,1604
1604132,Merapi Timur,merapi-timur,Kecamatan,1604
1604133,Merapi Selatan,merapi-selatan,Kecamatan,1604
1605030,Suku Tengah Lakitan Ulu,suku-tengah-lakitan-ulu,Kecamatan,1605
1605031,Selangit,selangit,Kecamatan,1605
1605032,Sumber Harta,sumber-harta,Kecamatan,1605
1605040,Tugumulyo,tugumulyo,Kecamatan,1605
1605041,Purwodadi,purwodadi,Kecamatan,1605
1605050,Muara Beliti,muara-beliti,Kecamatan,1605
1605051,Tiang Pumpung Kepungut,tiang-pumpung-kepungut,Kecamatan,1605
