id,name,slug,area,district_id
1601052001,Bandar Jaya,bandar-jaya,Kelurahan/Desa,1601052
1601052002,Karang Endah,karang-endah,Kelurahan/Desa,1601052
1601052003,Pajar Bulan,pajar-bulan,Kelurahan/Desa,1601052
1601052004,Pagar Dewa,pagar-dewa,Kelurahan/Desa,1601052
1601052005,Tanjung Lengkayap,tanjung-lengkayap,Kelurahan/Desa,1601052
1601052006,Bumi Kawa,bumi-kawa,Kelurahan/Desa,1601052
1601052007,Negeri Ratu,negeri-ratu,Kelurahan/Desa,1601052
1601052008,Lubuk Dalam,lubuk-dalam,Kelurahan/Desa,1601052
1601052009,Segara Kembang,segara-kembang,Kelurahan/Desa,1601052
1601052010,Sukaraja,sukaraja,Kelurahan/Desa,1601052
1601052011,Gedung Pakuan,gedung-pakuan,Kelurahan/Desa,1601052
1601052012,Tualang,tualang,Kelurahan/Desa,1601052
1601052013,Sundan,sundan,Kelurahan/Desa,1601052
1601052014,Tihang,tihang,Kelurahan/Desa,1601052
1601052015,Lubuk Hara,lubuk-hara,Kelurahan/Desa,1601052
1601052016,Negeri Agung,negeri-agung,Kelurahan/Desa,1601052
1601052017,Way Heling,way-heling,Kelurahan/Desa,1601052
1601052018,Bunga Tanjung,bunga-tanjung,Kelurahan/Desa,1601052
1601052019,Umpam,umpam,Kelurahan/Desa,1601052
1601052020,Tanjung Agung,tanjung-agung,Kelurahan/Desa,1601052
1601052021,Simpang Empat,simpang-empat,Kelurahan/Desa,1601052
1601052022,Fajar Jaya,fajar-jaya,Kelurahan/Desa,1601052
1601070001,Negeri Sindang,negeri-sindang,Kelurahan/Desa,1601070
1601070002,Rantau Kumpai,rantau-kumpai,Kelurahan/Desa,1601070
1601070003,Tungku Jaya,tungku-jaya,Kelurahan/Desa,1601070
1601070004,Lubuk Baru,lubuk-baru,Kelurahan/Desa,1601070
1601070005,Bandar,bandar,Kelurahan/Desa,1601070
1601070006,Lubuk Leban,lubuk-leban,Kelurahan/Desa,1601070
1601070007,Penyandingan,penyandingan,Kelurahan/Desa,1601070
1601070008,Kungkilan,kungkilan,Kelurahan/Desa,1601070
1601070009,Mekar Jaya,mekar-jaya,Kelurahan/Desa,1601070
